"userid","otheraffiliations","primary"
"93","Medical Scientist Training Program","0"
"93","Training in Cell and Molecular Biology","0"
"94","Molecular Genetics and Epigenetics Program","0"
"94","Neuroscience",""
"94","Predoctoral Training in Neuroscience","0"
"94","Training in Cell and Molecular Biology","0"
"94","Cancer Research Training in Molecular Biology ","0"
"94","Medical Scientist Training Program","0"
"95","Cancer Cell Signaling Program","0"
"96","Women's Oncology Program","0"
"96","Training in Cell and Molecular Biology","0"
"97","Immunology/Immunotherapy Program","0"
"98","Unaligned Members","0"
"98","Global Infectious Disease Research Training Program Award","0"
"98","Global Infectious Disease Research Training Grant at UVa","0"
"98","Medical Scientist Training Program","0"
"98","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"98","Biodefense Research Training and Career Development","0"
"98","Interdisciplinary Training Program in Immunology","0"
"98","Infectious Diseases Training Program","0"
"98","Research Training in Digestive Diseases","0"
"99","Women's Oncology Program","0"
"100","Cancer Cell Signaling Program","0"
"100","Neuroscience",""
"100","Predoctoral Training in Neuroscience","0"
"100","Training in Cell and Molecular Biology","0"
"100","Cancer Research Training in Molecular Biology ","0"
"100","Medical Scientist Training Program","0"
"100","Short-Term Training to Increase Diversity in Health-Related Research","0"
"100","Biotechnology Training Program","0"
"101","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"101","Biotechnology Training","0"
"101","Interdisciplinary Training Program in Immunology","0"
"101","Infectious Diseases Training Program","0"
"101","Research Training in Digestive Diseases","0"
"101","Surgical Infectious Diseases and Transplantation Training Grant","0"
"101","Biotechnology Training Program","0"
"101","Beirne Carter Center for Immunology","0"
"101","Training in the Pharmacological Sciences","0"
"101","Immunology/Immunotherapy Program","0"
"101","Training in Cell and Molecular Biology","0"
"101","Cancer Research Training in Molecular Biology ","0"
"101","Medical Scientist Training Program","0"
"102","Cancer Research Training in Molecular Biology ","0"
"103","Unaligned Members","0"
"103","Cancer Center","0"
"104","Molecular Genetics and Epigenetics Program","0"
"104","Training in Cell and Molecular Biology","0"
"105","Molecular Genetics and Epigenetics Program","0"
"105","Training in Cell and Molecular Biology","0"
"105","Cancer Research Training in Molecular Biology ","0"
"105","Global Infectious Disease Research Training Grant at UVa","0"
"105","Medical Scientist Training Program","0"
"105","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"105","Biotechnology Training","0"
"105","Interdisciplinary Training Program in Immunology","0"
"105","Infectious Diseases Training Program","0"
"106","Hematology and Oncology",""
"106","Unaligned Members","0"
"106","Research Training in Neuroendocrinology","0"
"107","Unaligned Members","0"
"107","Big Data Training Program","0"
"108","Women's Oncology Program","0"
"109","Cancer Cell Signaling Program","0"
"110","Cancer Cell Signaling Program","0"
"110","Basic Cardiovascular Research Training Grant","0"
"110","Medical Scientist Training Program","0"
"110","Short-Term Training to Increase Diversity in Health-Related Research","0"
"110","Cardiovascular Research Center","0"
"111","Molecular Genetics and Epigenetics Program","0"
"111","Neuroscience",""
"111","Predoctoral Training in Neuroscience","0"
"111","Training in Cell and Molecular Biology","0"
"112","Women's Oncology Program","0"
"113","Immunology/Immunotherapy Program","0"
"113","Cellular and Physiological Mechanisms in Reproduction","0"
"113","Medical Scientist Training Program","0"
"113","Interdisciplinary Training Program in Immunology","0"
"113","Short-Term Training to Increase Diversity in Health-Related Research","0"
"113","Biomedical Engineering","0"
"113","Urology","0"
"113","Obstetrics & Gynecology","0"
"114","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"114","Biodefense Research Training and Career Development","0"
"114","Infectious Diseases Training Program","0"
"114","Biotechnology Training Program","0"
"114","Big Data Training Program","0"
"114","Cancer Cell Signaling Program","0"
"114","Medical Scientist Training Program","0"
"114","Pharmacology","0"
"116","Unaligned Members","0"
"117","Cancer Cell Signaling Program","0"
"117","Biomedical Engineering",""
"117","Neuroscience",""
"117","Training in Molecular Biophysics","0"
"117","Predoctoral Training in Neuroscience","0"
"117","Training in Cell and Molecular Biology","0"
"117","Cancer Research Training in Molecular Biology ","0"
"117","Medical Scientist Training Program","0"
"117","Neurobiology and Development Training Program","0"
"117","Microbiology&#44; Immunology&#44; and Cancer Biology","0"
"118","ENG",""
"118","Immunology/Immunotherapy Program","0"
"118","Biomedical Engineering","0"
"118","Basic Cardiovascular Research Training Grant","0"
"118","Medical Scientist Training Program","0"
"118","Short-Term Training to Increase Diversity in Health-Related Research","0"
"118","Cardiovascular Research Center","0"
"118","Biotechnology Training Program","0"
"118","Training in Cardiovascular Imaging Research","0"
"120","Medical Scientist Training Program","0"
"120","Interdisciplinary Training Program in Immunology","0"
"120","Pathology","0"
"120","Chemical and Structural Biology Program","0"
"120","Biotechnology Training Program","0"
"120","Training in Cell and Molecular Biology","0"
"122","Women's Oncology Program","0"
"123","Cancer Cell Signaling Program","0"
"124","Women's Oncology Program","0"
"124","Basic Cardiovascular Research Training Grant","0"
"124","Biotechnology Training Program","0"
"124","Cancer Research Training in Molecular Biology ","0"
"124","Training in the Pharmacological Sciences","0"
"124","Short-Term Training to Increase Diversity in Health-Related Research","0"
"124","Training in Cell and Molecular Biology","0"
"124","Cardiovascular Research Center","0"
"124","Big Data Training Program","0"
"127","Unaligned Members","0"
"129","Gastroenterology",""
"129","Cancer Cell Signaling Program","0"
"130","Plastic Surgery","0"
"130","Biomedical Engineering","0"
"131","Interdisciplinary Training Program in Immunology","0"
"131","Infectious Diseases Training Program","0"
"131","Myles H. Thaler Center ","0"
"131","Beirne Carter Center for Immunology","0"
"131","Cancer Center","0"
"131","Medicine- Infectious Diseases and International Health","0"
"131","Immunology/Immunotherapy Program","0"
"131","Training in Cell and Molecular Biology","0"
"131","Cancer Research Training in Molecular Biology ","0"
"131","Medical Scientist Training Program","0"
"131","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"131","Biotechnology Training","0"
"132","Chemical and Structural Biology Program","0"
"132","Basic Cardiovascular Research Training Grant","0"
"132","Biotechnology Training Program","0"
"132","Cancer Research Training in Molecular Biology ","0"
"132","Medical Scientist Training Program","0"
"132","Training in the Pharmacological Sciences","0"
"132","Postdoctoral Training Grant for MDs in Surgical Oncology Research","0"
"132","Short-Term Training to Increase Diversity in Health-Related Research","0"
"132","Training in Cell and Molecular Biology","0"
"132","Cardiovascular Research Center","0"
"132","Training in Molecular Biophysics","0"
"132","Postdoctoral Training Grant for MDs in Surgical Oncology Research Yrs 6-10","0"
"132","Training in Cardiovascular Imaging Research","0"
"133","Women's Oncology Program","0"
"134","Women's Oncology Program","0"
"135","Cancer Cell Signaling Program","0"
"136","Chemical and Structural Biology Program","0"
"136","Training in Cell and Molecular Biology","0"
"137","Training in Cardiovascular Imaging Research","0"
"137","Chemical and Structural Biology Program","0"
"137","Medical Scientist Training Program","0"
"137","Cardiovascular Research Center","0"
"138","Women's Oncology Program","0"
"138","Postdoctoral Training Grant for MDs in Surgical Oncology Research","0"
"138","Research Training in Digestive Diseases","0"
"138","Surgical Infectious Diseases and Transplantation Training Grant","0"
"139","AS",""
"139","Cancer Cell Signaling Program","0"
"139","Training in Cell and Molecular Biology","0"
"139","Cell Biology","0"
"139","Biology","0"
"139","Cell Biology","0"
"140","Unaligned Members","0"
"140","Postdoctoral Training Grant for MDs in Surgical Oncology Research","0"
"140","Postdoctoral Training Grant for MDs in Surgical Oncology Research Yrs 6-10","0"
"141","Immunology/Immunotherapy Program","0"
"142","Molecular Genetics and Epigenetics Program","0"
"142","Training in Cell and Molecular Biology","0"
"143","Chemical and Structural Biology Program","0"
"143","Biotechnology Training Program","0"
"143","Medical Scientist Training Program","0"
"144","Microbiology&#44; Immunology&#44; and Cancer Biology","0"
"144","Cell and Developmental Biology","0"
"144","Training in Cell and Molecular Biology","0"
"144","Cancer Research Training in Molecular Biology ","0"
"145","Flow Cytometry Core","0"
"145","Biotechnology Training","0"
"146","Molecular Genetics and Epigenetics Program","0"
"146","Postdoctoral Training Grant for MDs in Surgical Oncology Research","0"
"146","Postdoctoral Training Grant for MDs in Surgical Oncology Research Yrs 6-10","0"
"147","Molecular Genetics and Epigenetics Program","0"
"147","Cardiovascular Surgery Training Center","0"
"147","Postdoctoral Training Grant for MDs in Surgical Oncology Research","0"
"147","Cardiovascular Research Center","0"
"148","Medicine","0"
"148","Hematology and Oncology","0"
"148","Pharmacology","0"
"148","Training in the Pharmacological Sciences","0"
"149","Orthopedic Surgery","0"
"149","Cancer Cell Signaling Program","0"
"150","Cancer Cell Signaling Program","0"
"150","Biomedical Engineering",""
"150","Biotechnology Training Program","0"
"150","Training in Cell and Molecular Biology","0"
"150","Medical Scientist Training Program","0"
"150","Cardiovascular Research Center","0"
"150","Ophthalmology","0"
"151","Pharmacology","0"
"151","Cancer Cell Signaling Program","0"
"153","Cardiovascular Research Center","0"
"153","Molecular Genetics and Epigenetics Program","0"
"153","Postdoctoral Training Grant for MDs in Surgical Oncology Research","0"
"154","Cancer Cell Signaling Program","0"
"155","Women's Oncology Program","0"
"155","Cancer Research Training in Molecular Biology ","0"
"155","Training in Cell and Molecular Biology","0"
"155","Biochemistry and Molecular Genetics","0"
"155","Cancer Center","0"
"155","Center for Public Health Genomics","0"
"156","Molecular Genetics and Epigenetics Program","0"
"156","Neuroscience","0"
"156","Predoctoral Training in Neuroscience","0"
"157","Molecular Genetics and Epigenetics Program","0"
"157","Training in Cell and Molecular Biology","0"
"158","Women's Oncology Program","0"
"159","Cancer Cell Signaling Program","0"
"159","Predoctoral Training in Neuroscience","0"
"159","Training in Cell and Molecular Biology","0"
"160","Immunology/Immunotherapy Program","0"
"160","Training in Cell and Molecular Biology","0"
"160","Cancer Research Training in Molecular Biology ","0"
"160","Medical Scientist Training Program","0"
"160","Interdisciplinary Training Program in Immunology","0"
"161","Predoctoral Training in Neuroscience","0"
"161","Biotechnology Training Program","0"
"161","Training in Cell and Molecular Biology","0"
"161","Cancer Cell Signaling Program","0"
"161","Neuroscience",""
"162","Chemical and Structural Biology Program","0"
"162","Neuroscience",""
"162","Predoctoral Training in Neuroscience","0"
"162","Research Training in Diabetes and Hormone Action","0"
"162","Basic Cardiovascular Research Training Grant","0"
"162","Biotechnology Training Program","0"
"162","Training in Cell and Molecular Biology","0"
"162","Cancer Research Training in Molecular Biology ","0"
"162","Training in the Pharmacological Sciences","0"
"162","Medical Scientist Training Program","0"
"162","Biochemistry and Molecular Genetics","0"
"162","Kidney Disease and Inflammation","0"
"162","Short-Term Training to Increase Diversity in Health-Related Research","0"
"162","Cardiovascular Research Center","0"
"163","Kidney Disease and Inflammation","0"
"164","Microbiology&#44; Immunology&#44; and Cancer Biology","0"
"164","Cell Biology","0"
"164","Cell and Developmental Biology","0"
"164","Training in Cell and Molecular Biology","0"
"164","Cancer Research Training in Molecular Biology ","0"
"165","Chemical and Structural Biology Program","0"
"165","Medical Scientist Training Program","0"
"165","Pharmacology","0"
"167","Predoctoral Training in Neuroscience","0"
"167","Training in Cell and Molecular Biology","0"
"167","Medical Scientist Training Program","0"
"167","Molecular Genetics and Epigenetics Program","0"
"167","Neuroscience",""
"168","Molecular Genetics and Epigenetics Program","0"
"168","Neuroscience","0"
"168","Predoctoral Training in Neuroscience","0"
"168","Medical Scientist Training Program","0"
"168","Neurobiology and Development Training Program","0"
"168","Brain Immunology and Glia Center","0"
"169","Women's Oncology Program","0"
"169","Cellular and Physiological Mechanisms in Reproduction","0"
"169","Research Training in Neuroendocrinology","0"
"170","Women's Oncology Program","0"
"170","Biomedical Engineering",""
"171","Molecular Genetics and Epigenetics Program","0"
"171","Training in Cell and Molecular Biology","0"
"171","Cancer Research Training in Molecular Biology ","0"
"171","Biodefense & Infectious Diseases Short Term Training for Minority Students","0"
"171","Postdoctoral Training Grant for MDs in Surgical Oncology Research","0"
"171","Postdoctoral Training Grant for MDs in Surgical Oncology Research Yrs 6-10","0"
"172","Training in Cell and Molecular Biology","0"
"173","Unaligned Members","0"
"174","Unaligned Members","0"
"175","Training in Molecular Biophysics","0"
"175","Training in Cell and Molecular Biology","0"
"175","Medical Scientist Training Program","0"
"175","Chemical and Structural Biology Program","0"
"175","Biomedical Engineering",""
"176","Women's Oncology Program","0"
"177","Women's Oncology Program","0"
"178","Cancer Cell Signaling Program","0"
"178","Biotechnology Training Program","0"
"178","Medical Scientist Training Program","0"
"178","Cancer Center","0"
"178","Postdoctoral Training Grant for MDs in Surgical Oncology Research","0"
"178","Research Training in Digestive Diseases","0"
"178","Postdoctoral Training Grant for MDs in Surgical Oncology Research Yrs 6-10","0"
"179","Microbiology&#44; Immunology&#44; and Cancer Biology","0"
"179","Immunology/Immunotherapy Program","0"
"180","Chemical and Structural Biology Program","0"
"180","Biotechnology Training Program","0"
"180","Training in Molecular Biophysics","0"
"181","Endocrinology ",""
"181","Women's Oncology Program","0"
"182","Chemical and Structural Biology Program","0"
"182","Training in Molecular Biophysics","0"
"182","Training in Cell and Molecular Biology","0"
"182","Training in the Pharmacological Sciences","0"
"182","Short-Term Training to Increase Diversity in Health-Related Research","0"
"183","Cancer Cell Signaling Program","0"
"183","Biomedical Engineering and Plastic Surgery",""
"184","Immunology/Immunotherapy Program","0"
"184","Research Training in Diabetes and Hormone Action","0"
"184","Basic Cardiovascular Research Training Grant","0"
"184","Cardiovascular Surgery Training Center","0"
"184","Training in the Pharmacological Sciences","0"
"184","Medical Scientist Training Program","0"
"184","Interdisciplinary Training Program in Immunology","0"
"184","Kidney Disease and Inflammation","0"
"184","Short-Term Training to Increase Diversity in Health-Related Research","0"
"184","Surgical Infectious Diseases and Transplantation Training Grant","0"
"184","Cardiovascular Research Center","0"
"184","Research Training in Neuroendocrinology","0"
"185","Neuroscience","0"
"186","Unaligned Members","0"
"187","Training in Cardiovascular Imaging Research","0"
"187","Big Data Training Program","0"
"187","Cancer Cell Signaling Program","0"
"187","Basic Cardiovascular Research Training Grant","0"
"187","Training in Cell and Molecular Biology","0"
"187","Cancer Research Training in Molecular Biology ","0"
"187","Cardiovascular Surgery Training Center","0"
"187","Training in the Pharmacological Sciences","0"
"187","Medical Scientist Training Program","0"
